year,id_,marital,race,rincome,partyid,relig,denom
2e3,1.0,Never married,White,$8000 to 9999,"Ind,near rep",Protestant,Southern baptist
2e3,2.0,Divorced,White,$8000 to 9999,Not str republican,Protestant,Baptist-dk which
2e3,3.0,Widowed,White,Not applicable,Independent,Protestant,No denomination
2e3,4.0,Never married,White,Not applicable,"Ind,near rep",Orthodox-christian,Not applicable
2e3,5.0,Divorced,White,Not applicable,Not str democrat,None,Not applicable
2e3,6.0,Married,White,$20000 - 24999,Strong democrat,Protestant,Southern baptist
2e3,7.0,Never married,White,$25000 or more,Not str republican,Christian,Not applicable
2e3,8.0,Divorced,White,$7000 to 7999,"Ind,near dem",Protestant,Lutheran-mo synod
2e3,9.0,Married,White,$25000 or more,Not str democrat,Protestant,Other
2e3,10.0,Married,White,$25000 or more,Strong republican,Protestant,Southern baptist
2e3,11.0,Married,White,$25000 or more,Not str democrat,Protestant,Other
2e3,12.0,Married,White,$25000 or more,"Ind,near rep",None,Not applicable
2e3,13.0,Married,White,$25000 or more,Strong democrat,Protestant,Southern baptist
2e3,14.0,Married,White,$25000 or more,Strong republican,Protestant,United methodist
2e3,15.0,Divorced,White,$25000 or more,"Ind,near dem",None,Not applicable
2e3,16.0,Married,Black,$25000 or more,Strong democrat,Protestant,Baptist-dk which
2e3,17.0,Widowed,White,Not applicable,Strong republican,Jewish,Not applicable
2e3,18.0,Never married,White,$25000 or more,Independent,None,Not applicable
2e3,19.0,Married,White,$10000 - 14999,Not str democrat,Catholic,Not applicable
2e3,20.0,Married,Black,Not applicable,Independent,Protestant,United methodist
2e3,21.0,Married,White,$25000 or more,"Ind,near dem",Catholic,Not applicable
2e3,22.0,Married,White,Refused,Strong republican,Protestant,United methodist
2e3,23.0,Never married,White,Not applicable,Independent,None,Not applicable
2e3,24.0,Widowed,White,$25000 or more,"Ind,near rep",Christian,Not applicable
2e3,25.0,Widowed,White,Not applicable,Not str democrat,Protestant,Other
2e3,26.0,Widowed,White,Not applicable,Strong democrat,Protestant,Episcopal
2e3,27.0,Widowed,White,Not applicable,Not str democrat,Protestant,Other lutheran
2e3,28.0,Widowed,White,Not applicable,Strong republican,Protestant,Afr meth ep zion
2e3,29.0,Divorced,White,Not applicable,Strong democrat,Protestant,Southern baptist
2e3,30.0,Widowed,White,Not applicable,Independent,Protestant,Am bapt ch in usa
2e3,31.0,Widowed,White,Not applicable,"Ind,near rep",Protestant,Other methodist
2e3,32.0,Married,White,Refused,Not str democrat,Catholic,Not applicable
2e3,33.0,Married,Black,Not applicable,Not str democrat,Protestant,Other
2e3,34.0,Never married,White,$25000 or more,Independent,None,Not applicable
2e3,35.0,Married,White,$10000 - 14999,"Ind,near dem",Protestant,Other
2e3,36.0,Never married,Other,$20000 - 24999,Not str democrat,Christian,Not applicable
2e3,37.0,Never married,White,$25000 or more,"Ind,near dem",None,Not applicable
2e3,38.0,Never married,White,$20000 - 24999,Independent,Catholic,Not applicable
2e3,39.0,Never married,White,$25000 or more,"Ind,near rep",Catholic,Not applicable
2e3,40.0,Never married,White,Refused,Strong republican,Protestant,Southern baptist
2e3,41.0,Married,White,$20000 - 24999,"Ind,near dem",None,Not applicable
2e3,42.0,Married,White,$25000 or more,Independent,Catholic,Not applicable
2e3,43.0,Divorced,Black,$15000 - 19999,Strong democrat,None,Not applicable
2e3,44.0,Never married,White,Not applicable,"Ind,near dem",Other,Not applicable
2e3,45.0,Never married,White,$25000 or more,"Ind,near rep",None,Not applicable
2e3,46.0,Never married,White,$10000 - 14999,Strong democrat,Catholic,Not applicable
2e3,47.0,Married,White,$25000 or more,Strong republican,Protestant,Southern baptist
2e3,48.0,Married,White,$3000 to 3999,"Ind,near rep",Protestant,Presbyterian c in us
2e3,49.0,Married,White,$25000 or more,Not str republican,Protestant,Episcopal
2e3,50.0,Married,White,$25000 or more,Strong republican,Protestant,Southern baptist
2e3,51.0,Never married,White,$15000 - 19999,Strong republican,Protestant,Methodist-dk which
2e3,52.0,Married,White,$5000 to 5999,Strong republican,Protestant,Other
2e3,53.0,Married,White,$25000 or more,Strong democrat,Protestant,Other
2e3,54.0,Married,White,Not applicable,Not str republican,Protestant,No denomination
2e3,55.0,Married,Other,$10000 - 14999,Not str democrat,None,Not applicable
2e3,56.0,Divorced,Black,Don't know,Independent,None,Not applicable
2e3,57.0,Divorced,White,$20000 - 24999,Independent,Protestant,Baptist-dk which
2e3,58.0,Divorced,White,$25000 or more,"Ind,near rep",Protestant,Southern baptist
2e3,59.0,Never married,White,$1000 to 2999,Strong democrat,Protestant,Other
2e3,60.0,Never married,White,Don't know,Not str republican,Protestant,Presbyterian c in us
2e3,61.0,Married,White,$10000 - 14999,Not str republican,Protestant,United methodist
2e3,62.0,Married,Other,$25000 or more,Not str republican,Christian,Not applicable
2e3,63.0,Never married,Black,$25000 or more,Strong democrat,Protestant,Am bapt ch in usa
2e3,64.0,Divorced,White,Not applicable,"Ind,near dem",Protestant,Southern baptist
2e3,65.0,Never married,White,$10000 - 14999,Independent,None,Not applicable
2e3,66.0,Widowed,Black,Not applicable,Independent,None,Not applicable
2e3,67.0,Divorced,White,$25000 or more,Strong republican,Catholic,Not applicable
2e3,68.0,Married,White,Not applicable,Strong democrat,Protestant,No denomination
2e3,69.0,Never married,Black,$15000 - 19999,Strong democrat,Protestant,Nat bapt conv usa
2e3,70.0,Never married,White,Not applicable,Independent,Protestant,Am lutheran
2e3,71.0,Widowed,Black,Not applicable,Strong democrat,Protestant,United methodist
2e3,72.0,Widowed,Black,Not applicable,Strong democrat,Other,Not applicable
2e3,73.0,Widowed,Black,Not applicable,Independent,Protestant,Baptist-dk which
2e3,74.0,Widowed,Black,Not applicable,Strong democrat,Protestant,Nat bapt conv of am
2e3,75.0,Widowed,Black,Not applicable,Not str democrat,Protestant,Nat bapt conv of am
2e3,76.0,Never married,Black,$10000 - 14999,"Ind,near dem",Protestant,Nat bapt conv usa
2e3,77.0,Widowed,Black,Not applicable,Strong democrat,Protestant,Southern baptist
2e3,78.0,Never married,Black,Not applicable,Strong democrat,Protestant,Nat bapt conv of am
2e3,79.0,Married,Black,$25000 or more,Strong democrat,Catholic,Not applicable
2e3,80.0,Never married,Black,$25000 or more,Not str republican,Protestant,Baptist-dk which
2e3,81.0,Married,Black,$25000 or more,Strong democrat,Protestant,Southern baptist
2e3,82.0,Married,White,$3000 to 3999,Not str republican,Protestant,Lutheran-mo synod
2e3,83.0,Widowed,Black,Not applicable,Strong democrat,Catholic,Not applicable
2e3,84.0,Married,Black,Refused,"Ind,near dem",Protestant,Other
2e3,85.0,Married,Black,$3000 to 3999,Strong democrat,Protestant,Baptist-dk which
2e3,86.0,Divorced,White,Not applicable,Strong democrat,Protestant,Am baptist asso
2e3,87.0,Never married,Black,$20000 - 24999,Independent,Protestant,Southern baptist
2e3,88.0,Separated,Black,$25000 or more,Strong democrat,Protestant,Baptist-dk which
2e3,89.0,Never married,White,$10000 - 14999,"Ind,near dem",Catholic,Not applicable
2e3,90.0,Widowed,White,Not applicable,Not str democrat,Catholic,Not applicable
2e3,91.0,Widowed,White,Refused,Not str republican,Catholic,Not applicable
2e3,92.0,Married,White,$25000 or more,Independent,Catholic,Not applicable
2e3,93.0,Divorced,White,$25000 or more,Not str democrat,Inter-nondenominational,Not applicable
2e3,94.0,Never married,White,$15000 - 19999,"Ind,near dem",Catholic,Not applicable
2e3,95.0,Never married,White,$20000 - 24999,Not str republican,Catholic,Not applicable
2e3,96.0,Never married,White,$25000 or more,Not str republican,Catholic,Not applicable
2e3,97.0,Married,White,Refused,Independent,Catholic,Not applicable
2e3,98.0,Married,White,Lt $1000,"Ind,near dem",None,Not applicable
2e3,99.0,Widowed,White,Not applicable,Not str republican,None,Not applicable
2e3,100.0,Divorced,White,Refused,Independent,None,Not applicable
2e3,101.0,Married,White,Refused,Not str democrat,Protestant,Evangelical luth
2e3,102.0,Married,White,$25000 or more,Not str republican,Catholic,Not applicable
2e3,103.0,Married,White,Not applicable,Independent,None,Not applicable
2e3,104.0,Married,Other,$25000 or more,Not str democrat,Hinduism,Not applicable
2e3,105.0,Widowed,White,Not applicable,Not str democrat,Protestant,United methodist
2e3,106.0,Married,White,Not applicable,Strong republican,Jewish,Not applicable
2e3,107.0,Divorced,White,Refused,Not str democrat,Jewish,Not applicable
2e3,108.0,Divorced,White,$25000 or more,Strong democrat,Jewish,Not applicable
2e3,109.0,Married,White,$25000 or more,Strong democrat,Jewish,Not applicable
2e3,110.0,Never married,Other,$10000 - 14999,"Ind,near dem",Protestant,Presbyterian c in us
2e3,111.0,Married,White,$20000 - 24999,"Ind,near rep",None,Not applicable
2e3,112.0,Married,Black,Refused,Strong democrat,None,Not applicable
2e3,113.0,Separated,Other,Refused,Not str democrat,Native american,Not applicable
2e3,114.0,Married,Other,$25000 or more,Not str democrat,None,Not applicable
2e3,115.0,Never married,Black,$25000 or more,Independent,None,Not applicable
2e3,116.0,Divorced,Black,$25000 or more,Strong democrat,Protestant,Episcopal
2e3,117.0,Divorced,White,$25000 or more,"Ind,near rep",Other,Not applicable
2e3,118.0,Separated,White,Not applicable,Independent,Catholic,Not applicable
2e3,119.0,Married,White,$10000 - 14999,"Ind,near rep",Catholic,Not applicable
2e3,120.0,Widowed,White,Not applicable,Not str republican,Protestant,Episcopal
2e3,121.0,Separated,White,Not applicable,Not str democrat,Catholic,Not applicable
2e3,122.0,Divorced,White,Not applicable,Not str democrat,Catholic,Not applicable
2e3,123.0,Married,White,Not applicable,Not str democrat,Catholic,Not applicable
2e3,124.0,Divorced,White,No answer,"Ind,near rep",Protestant,No denomination
2e3,125.0,Never married,White,Not applicable,Independent,Catholic,Not applicable
2e3,126.0,Divorced,White,$20000 - 24999,Independent,Catholic,Not applicable
2e3,127.0,Divorced,White,Refused,Independent,Protestant,Other
2e3,128.0,Married,White,Refused,Independent,Catholic,Not applicable
2e3,129.0,Never married,Black,Not applicable,Strong democrat,Protestant,Methodist-dk which
2e3,130.0,Never married,Black,Not applicable,Strong democrat,Protestant,Afr meth episcopal
2e3,131.0,Never married,White,$3000 to 3999,"Ind,near dem",Protestant,Lutheran-dk which
2e3,132.0,Married,White,$10000 - 14999,"Ind,near dem",Christian,Not applicable
2e3,133.0,Married,White,$8000 to 9999,"Ind,near dem",None,Not applicable
2e3,134.0,Divorced,Black,$10000 - 14999,"Ind,near dem",Inter-nondenominational,Not applicable
2e3,135.0,Widowed,Black,$8000 to 9999,"Ind,near dem",Protestant,Baptist-dk which
2e3,136.0,Never married,White,$20000 - 24999,"Ind,near rep",Christian,Not applicable
2e3,137.0,Widowed,Black,Not applicable,Strong democrat,Protestant,Baptist-dk which
2e3,138.0,Divorced,White,Not applicable,Not str democrat,Catholic,Not applicable
2e3,139.0,Separated,Black,Not applicable,"Ind,near dem",None,Not applicable
2e3,140.0,Widowed,Black,Not applicable,Strong democrat,Catholic,Not applicable
2e3,141.0,Never married,White,Not applicable,Not str republican,Protestant,Am bapt ch in usa
